Address;Status geocode;Formatted address;Latitude;Longitude;Type;Location Type;Street number;Street;Postal code;City;Country;Region;Department;Department number
17012440;Ok;Vila Universitaria, Bauru - State of São Paulo, 17012-440, Brazil;-22.3402278;-49.0552857;postal_code;APPROXIMATE;;;17012-440;;Brazil;São Paulo;Bauru;Bauru
17024270;Ok;R. Maestro Oscár Mendes - Novo Jardim Pagani, Bauru - SP, 17024-270, Brazil;-22.2958173;-49.0675156;postal_code;APPROXIMATE;;Rua Maestro Oscár Mendes;17024-270;;Brazil;São Paulo;Bauru;Bauru
17017339;Ok;Jardim America, Bauru - State of São Paulo, 17017-339, Brazil;-22.3460951;-49.0560741;postal_code;APPROXIMATE;;;17017-339;;Brazil;São Paulo;Bauru;Bauru
17056140;Ok;Vila São João do Ipiranga, Bauru - State of São Paulo, 17056-140, Brazil;-22.3526472;-49.1007389;postal_code;APPROXIMATE;;;17056-140;;Brazil;São Paulo;Bauru;Bauru
17021270;Ok;Alameda Flôr do Amor - Parque Novo Sao Geraldo, Bauru - SP, 17021-270, Brazil;-22.29928;-49.0743911;postal_code;APPROXIMATE;;Alameda Flôr do Amor;17021-270;;Brazil;São Paulo;Bauru;Bauru
17039520;Ok;R. Rio Taquarussu - Vila Aimores, Bauru - SP, 17039-520, Brazil;-22.3114363;-48.9954417;postal_code;APPROXIMATE;;Rua Rio Taquarussu;17039-520;;Brazil;São Paulo;Bauru;Bauru
17010001;Ok;R. Batista de Carvalho - Centro, Bauru - SP, 17010-001, Brazil;-22.3223108;-49.0711361;postal_code;APPROXIMATE;;Rua Batista de Carvalho;17010-001;;Brazil;São Paulo;Bauru;Bauru
17047202;Ok;Av. Etelvina de Souza Majone - Reserva Belas Nações, Bauru - SP, 17047-202, Brazil;-22.3391932;-49.0387987;postal_code;APPROXIMATE;;Avenida Etelvina de Souza Majone;17047-202;;Brazil;São Paulo;Bauru;Bauru
17067450;Ok;Alameda Dante - Parque Santa Edwiges, Bauru - SP, 17067-450, Brazil;-22.3036889;-49.1066438;postal_code;APPROXIMATE;;Alameda Dante;17067-450;;Brazil;São Paulo;Bauru;Bauru
17015230;Ok;Praça Dom Pedro II - Centro, Bauru - SP, 17015-230, Brazil;-22.324495;-49.076371;postal_code;APPROXIMATE;;Praça Dom Pedro II;17015-230;;Brazil;São Paulo;Bauru;Bauru
