;property_type;room_type;bed_type;accommodates;bedrooms;beds;number_of_reviews;bathrooms;price
806;Apartment;Private room;Real Bed;1;1;1;1;1;35
807;Apartment;Entire home/apt;Real Bed;4;2;3;0;1;1160
808;Apartment;Entire home/apt;Real Bed;6;3;4;4;2;634
809;House;Entire home/apt;Real Bed;6;2;3;2;2;350
810;Cottage;Entire home/apt;Real Bed;9;2;6;106;2;200
811;Apartment;Entire home/apt;Real Bed;2;1;1;4;1;47
812;Boutique hotel;Private room;Real Bed;2;1;1;10;1;63
813;Apartment;Entire home/apt;Real Bed;2;1;1;3;1;190
814;Apartment;Entire home/apt;Real Bed;2;0;1;0;1;538
815;Apartment;Private room;Real Bed;1;1;1;2;1;280
816;Condominium;Entire home/apt;Real Bed;4;1;2;0;1;595
817;Apartment;Private room;Real Bed;2;1;2;8;1.5;38
818;Loft;Entire home/apt;Real Bed;2;0;2;27;1;125
819;House;Entire home/apt;Real Bed;10;4;10;42;2;230
820;Condominium;Entire home/apt;Real Bed;4;1;2;1;1;351
821;Loft;Private room;Real Bed;2;1;1;1;1;148
822;Guesthouse;Entire home/apt;Real Bed;4;2;2;85;1;275
823;House;Private room;Real Bed;1;1;0;23;1;70
824;Apartment;Private room;Real Bed;2;1;1;22;1;38
825;Condominium;Entire home/apt;Real Bed;6;2;3;20;2;230
826;Apartment;Private room;Real Bed;2;1;1;81;1;79
827;Boutique hotel;Private room;Real Bed;4;1;3;1;1;1186
828;Aparthotel;Private room;Real Bed;2;1;1;116;1;109
829;Apartment;Entire home/apt;Real Bed;6;3;4;14;2;135
830;Apartment;Entire home/apt;Real Bed;8;2;8;3;3;369
831;Apartment;Entire home/apt;Real Bed;3;2;2;1;1;38
832;Apartment;Private room;Real Bed;1;1;1;0;1;749
833;Apartment;Private room;Real Bed;2;1;1;66;1;50
834;House;Entire home/apt;Real Bed;6;3;4;16;2.5;329
835;House;Private room;Real Bed;4;2;2;2;1;120
836;House;Private room;Real Bed;2;1;1;3;1;249
837;House;Entire home/apt;Real Bed;6;3;3;1;2;935
838;Apartment;Private room;Real Bed;2;1;1;4;1;154
839;Apartment;Entire home/apt;Real Bed;6;3;3;10;1;250
840;House;Entire home/apt;Real Bed;6;3;3;24;2;249
841;Apartment;Private room;Real Bed;2;1;1;7;1;74
842;Apartment;Entire home/apt;Real Bed;5;2;4;1;3;298
843;Apartment;Entire home/apt;Real Bed;4;2;3;11;2;385
844;Apartment;Private room;Real Bed;2;1;1;128;2;27
845;Apartment;Private room;Real Bed;2;1;1;2;1;100
846;Apartment;Private room;Real Bed;2;1;1;28;1;90
847;Apartment;Private room;Real Bed;1;1;1;0;1;295
